IRAS FSC ,Common name,hh,mm,ss.s,deg,arcmin,arcsec,Tel,z,Log(LIR) ( L_sol),Log(M_*) M_sol,Log(M_H2) M_sol,Ref
F00085-1223,NGC0034,0,11,6.6,?12,6,26,HST,0.02,11.48,10.58,L,L
F00163-1039,MCG-02-01-051,0,18,50.5,?10,22,9,HST,0.027,11.46,10.65,L,L
F00402-2349,NGC0232,0,42,45.8,?23,33,41,PS1,0.023,11.43,10.84,10.18,5
F01053-1746,IC1623,1,7,47.2,?17,30,25,HST,0.02,11.66,10.65,10.51,6
F01076-1707,MCG-03-04-014,1,10,9,?16,51,10,HST,0.033,11.63,10.85,10.34,5
F01173+1405,CGCG436-030,1,20,2.7,14,21,43,HST,0.031,11.68,10.56,L,L
F01364-1042,IRASF01364,1,38,52.9,?10,27,11,HST,0.048,11.79,10.45,10.18,5
F01417+1651,IIIZw035,1,44,30.4,17,6,5,HST,0.027,11.62,10.25,9.93,6
F01484+2220,NGC0695,1,51,14.2,22,34,57,HST,0.032,11.69,11.03,10.44,2
F02281-0309,NGC0958,2,30,42.8,?02,56,20,PS1,0.019,11.22,11.14,10.22,6
F02401-0013,NGC1068,2,42,40.7,0,0,48,PS1,0.004,11.4,10.56,9.86,2
F02435+1253,UGC02238,2,46,17.5,13,5,44,PS1,0.022,11.39,10.55,10.21,6
F02512+1446,UGC02369,2,54,1.8,14,58,25,HST,0.031,11.6,11.03,L,L
F03359+1523,IRASF03359,3,38,46.7,15,32,55,HST,0.035,11.51,10.29,10.43,6
F04097+0525,UGC02982,4,12,22.5,5,32,51,UH,0.018,11.2,10.54,L,L
F04191-1855,ESO550-IG025,4,21,20,?18,48,48,HST,0.032,11.5,10.93,L,L
F04315-0840,NGC1614,4,33,59.9,?08,34,44,HST,0.016,11.61,10.63,10.09,6
F05189-2524,IRASF05189,5,21,1.5,?25,21,45,HST,0.043,12.13,10.91,10.43,6
F08354+2555,NGC2623,8,38,24.1,25,45,17,HST,0.019,11.58,10.47,9.83,1
F08572+3915,IRASF08572,9,0,25.4,39,3,54,HST,0.058,12.17,10.29,9.84,4
F09126+4432,UGC04881,9,15,55.1,44,19,54,HST,0.039,11.7,10.97,10.52,6
F09320+6134,UGC05101,9,35,51.7,61,21,11,HST,0.039,12,10.93,10.56,6
F09333+4841,MCG+08-18-013,9,36,37.2,48,28,28,UH,0.026,11.33,9.56,L,L
F09437+0317,IC0563-4,9,46,20.7,3,3,30,UH,0.02,11.28,10.87,10.32,6
F10015-0614,NGC3110,10,4,2.1,?06,28,29,UH,0.017,11.41,10.83,10.21,6
F10173+0828,IRASF10173,10,20,0.2,8,13,34,HST,0.049,11.79,10.33,10.41,6
F10565+2448,IRASF10565,10,59,18.1,24,32,34,HST,0.043,12.05,10.87,10.4,6
F11011+4107,MCG+07-23-019,11,3,53.2,40,50,57,HST,0.035,11.63,10.63,10.24,6
F11186-0242,CGCG011-076,11,21,12.3,?02,59,3,UH,0.025,11.38,10.75,10.08,6
F11231+1456,IC2810,11,25,47.3,14,40,21,HST,0.034,11.64,10.99,10.32,6
F11257+5850,NGC3690,11,28,32.3,58,33,44,HST,0.01,11.89,10.76,10.42,6
F12112+0305,IRASF12112,12,13,46,2,48,38,HST,0.073,12.33,10.76,10.68,6
F12224-0624,IRASF12224,12,25,3.9,?06,40,53,UH,0.026,11.32,9.95,L,L
F12540+5708,UGC08058,12,56,14.2,56,52,25,HST,0.042,12.53,11.57,10.55,6
F12590+2934,NGC4922,13,1,24.9,29,18,40,UH,0.024,11.33,10.97,L,L
F13001-2339,ESO507-G070,13,2,52.3,?23,55,18,HST,0.022,11.53,10.78,10.03,5
F13126+2453,IC0860,13,15,3.5,24,37,8,UH,0.011,11.1,10.12,9.08,6
F13136+6223,VV250a,13,15,35.1,62,7,29,HST,0.031,11.77,10.39,10.19,6
F13182+3424,UGC08387,13,20,35.3,34,8,22,HST,0.023,11.72,10.59,9.93,6
F13188+0036,NGC5104,13,21,23.1,0,20,33,UH,0.019,11.25,10.81,9.95,6
F13197-1627,MCG-03-34-064,13,22,24.5,?16,43,43,UH,0.017,11.19,10.75,L,L
F13229-2934,NGC5135,13,25,44.1,?29,50,1,UH,0.014,11.29,10.97,10.12,6
F13362+4831,NGC5256,13,38,17.5,48,16,37,HST,0.028,11.52,11.01,10.21,2
F13373+0105,NGC5257-8,13,39,55,0,50,7,HST,0.023,11.63,11.23,L,L
F13428+5608,UGC08696,13,44,42.1,55,53,13,HST,0.038,12.18,10.96,10.33,6
F14179+4927,CGCG247-020,14,19,43.3,49,14,12,UH,0.026,11.35,10.45,L,L
F14348-1447,IRASF14348,14,37,38.4,?15,0,23,HST,0.083,12.37,11.02,10.84,6
F14547+2449,VV340a,14,57,0.7,24,37,3,HST,0.034,11.79,10.83,L,L
F15107+0724,CGCG049-057,15,13,13.1,7,13,32,UH,0.013,11.33,10.02,9.53,6
F15163+4255,VV705,15,18,6.3,42,44,41,HST,0.04,11.88,10.86,10.33,6
F15250+3608,IRASF15250,15,26,59.4,35,58,38,HST,0.055,12.07,10.61,L,L
F15327+2340,UGC09913,15,34,57.1,23,30,11,HST,0.018,12.24,10.81,10.34,6
F16104+5235,NGC6090,16,11,40.7,52,27,24,HST,0.029,11.55,10.73,10.21,2
F16284+0411,CGCG052-037,16,30,56.5,4,4,58,UH,0.024,11.45,10.72,L,L
F16577+5900,NGC6286,16,58,31.4,58,56,10,UH,0.018,11.42,10.76,10.03,2
F17132+5313,IRASF17132,17,14,20,53,10,30,HST,0.051,11.92,10.89,10.61,2
F22287-1917,ESO602-G025,22,31,25.5,?19,2,4,UH,0.025,11.34,10.82,L,L
F22491-1808,IRASF22491,22,51,49.3,?17,52,23,HST,0.078,12.19,10.71,10.49,6
F23007+0836,NGC7469,23,3,15.6,8,52,26,HST,0.016,11.58,11.05,10.31,1
F23024+1916,CGCG453-062,23,4,56.5,19,33,8,UH,0.025,11.37,10.62,L,L
F23135+2517,IC5298,23,16,0.7,25,33,24,HST,0.027,11.53,10.76,9.95,6
F23157-0441,NGC7592,23,18,22.2,?04,24,58,UH,0.024,11.39,10.73,10.34,6
F23254+0830,NGC7674,23,27,56.7,8,46,45,HST,0.029,11.51,11.17,10.12,1
F23488+1949,NGC7771,23,51,24.9,20,6,43,UH,0.014,11.35,11.08,10.01,2
F23488+2018,MRK0331,23,51,26.8,20,35,10,HST,0.018,11.5,9.67,L,L
