name,int_time,S_HISign,S_HI,S_HIErr,HI_Vel,HI_VelErr,W50,W50Err,W20,W20Err,CFDSign,CFD,CFDErr,CPSSign,CPS,CRMS,MassSign,Log(M_HI),LogM_HIErr,ProfileCode
F00073+2538,65.2,,9.04,0.91,4567.,6.,381.4,11.5,453.1,11.5,<,0.195,0.065,,29.18,1.95,,9.94,0.04,EM_NG
F00085-1223,84.1,,4.48,0.46,5881.,20.,292.6,54.2,432.4,40.7,<,0.195,0.065,,21.01,2.08,,9.86,0.04,EM_NG
F00163-1039,117.5,,5.95,0.60,8143.,5.,257.6,8.8,309.5,9.5,,0.951,0.115,,32.08,1.96,,10.26,0.04,EM_NG
F00344-3349,89.0,,0.13,0.06,6238.,25.,90.6,12.6,147.9,35.3,<,0.195,0.065,,8.69,1.63,,8.37,0.18,EM_G
F00402-2349,95.2,,2.01,0.21,6762.,19.,255.3,20.5,329.6,37.3,<,0.195,0.065,,11.29,1.68,,9.61,0.05,EM_NG
F00506+7248,69.8,,6.13,0.62,4781.,7.,311.5,14.2,386.2,14.2,<,0.195,0.065,,24.04,1.88,,9.83,0.04,EM_NG
F00548+4331,77.8,,7.46,0.76,5284.,23.,301.7,46.3,451.7,46.3,<,0.195,0.065,,32.87,2.81,,10.01,0.04,EM_NG
F01053-1746,85.5,,12.44,1.36,6163.,60.,548.0,323.5,710.8,119.4,,0.302,0.072,,35.62,9.15,,10.31,0.05,EM_NG
F01076-1707,144.0,<,0.16,0.05,0.,5.,0.0,5.0,0.0,5.0,<,0.195,0.065,<,4.38,1.46,<,8.90,0.14,NoDet
F01173+1405,134.0,,1.33,0.14,9428.,9.,108.8,18.9,194.4,18.9,<,0.195,0.065,,12.42,1.04,,9.72,0.05,EM_NG
F01364-1042,210.0,<,0.10,0.03,0.,5.,0.0,5.0,0.0,5.0,<,0.195,0.065,<,2.85,0.95,<,9.04,0.14,NoDet
F01417+1651,119.0,,2.09,0.21,8219.,5.,177.4,10.0,232.1,10.0,<,0.195,0.065,,14.08,1.01,,9.82,0.04,EM_NG
F01484+2220,139.0,,4.58,0.46,9828.,10.,239.5,19.0,390.7,19.0,<,0.195,0.065,,24.01,1.07,,10.29,0.04,EM_NG
F01519+3640,79.8,,3.12,0.32,5609.,9.,209.1,15.3,294.0,18.3,<,0.195,0.065,,18.35,1.37,,9.65,0.04,EM_NG
F02070+3857,76.3,,9.79,0.98,5373.,5.,384.7,9.5,451.6,9.5,<,0.195,0.065,,34.59,1.84,,10.11,0.04,EM_NG
F02071-1023,53.8,,20.06,2.01,3843.,5.,238.9,5.0,325.2,5.0,<,0.195,0.065,,90.44,1.74,,10.13,0.04,EM_NG
F02114+0456,129.0,,0.33,0.06,9235.,14.,147.0,27.6,225.1,27.6,<,0.195,0.065,,17.52,1.37,,9.09,0.07,EM_NG
F02152+1418,54.6,,41.36,4.14,3876.,5.,411.4,5.3,506.6,5.3,<,0.195,0.065,,111.37,2.59,,10.45,0.04,EM_NG
F02203+3158,145.0,,1.54,0.17,10081.,27.,206.0,78.8,307.6,53.5,<,0.195,0.065,,9.24,1.67,,9.85,0.05,EM_NG
F02208+4744,67.0,,4.18,0.43,4632.,7.,177.9,5.0,280.4,21.8,<,0.195,0.065,,24.83,2.15,,9.63,0.04,EM_G
F02281-0309,80.6,,30.03,3.01,5744.,5.,567.3,5.0,622.3,5.0,<,0.195,0.065,,81.53,2.76,,10.65,0.04,EM_NG
F02345+2053,58.0,,16.87,1.69,4144.,5.,261.4,7.4,336.6,5.0,<,0.195,0.065,,75.56,2.03,,10.11,0.04,EM_NG
F02401-0013,15.9,,22.58,2.28,1131.,5.,254.1,10.1,307.5,10.1,,5.093,0.513,,112.99,8.00,,9.13,0.04,EM_NG
F02435+1253,92.4,,10.79,1.08,6437.,10.,67.0,16.7,359.3,20.4,<,0.195,0.065,,73.06,1.74,,10.32,0.04,EM_NG
F02437+2122,98.8,>,1.59,0.17,7022.,18.,265.4,34.9,356.8,35.0,<,0.195,0.065,,8.67,1.04,>,9.54,0.05,EM_ABS
F02512+1446,136.0,,0.30,0.07,9278.,35.,106.1,12.6,214.5,100.8,<,0.195,0.065,,4.49,1.61,,9.09,0.10,EM_G
F03117+4151,100.0,,2.67,0.27,6997.,6.,280.7,11.7,331.2,12.0,<,0.195,0.065,,13.75,1.27,,9.78,0.04,EM_NG
F03217+4022,100.0,,0.38,0.05,6985.,13.,75.3,6.0,126.3,27.8,<,0.195,0.065,,6.37,1.24,,8.93,0.06,EM_G
F03359+1523,152.0,,-0.82,0.10,10746.,41.,154.4,11.3,257.5,67.8,<,0.195,0.065,,-1.83,1.06,,-0.00,-0.00,ABS_G
F03514+1546,94.3,,4.92,0.50,6629.,5.,207.4,5.5,239.8,5.5,<,0.195,0.065,,30.14,1.97,,9.99,0.04,EM_NG
03582+6012,131.0,,2.68,0.28,8865.,18.,201.1,7.2,360.4,51.0,,0.222,0.069,,14.43,1.55,,10.01,0.04,EM_G
F04097+0525,74.9,,11.84,1.19,5316.,5.,369.0,6.4,413.7,6.4,<,0.195,0.065,,44.29,2.38,,10.18,0.04,EM_NG
F04118-3207,51.0,<,0.22,0.07,0.,5.,0.0,5.0,0.0,5.0,<,0.195,0.065,<,5.91,1.97,<,8.12,0.14,NoDet
F04191-1855,138.5,,2.59,0.26,9814.,11.,84.5,5.0,145.1,8.4,<,0.195,0.065,,30.89,1.53,,10.04,0.04,EM_G
04271+3849,80.8,<,0.20,0.07,0.,5.,0.0,5.0,0.0,5.0,<,0.195,0.065,<,5.49,1.83,<,8.49,0.14,NoDet
F04315-0840,67.8,,0.46,0.07,4735.,5.,178.8,7.1,208.5,7.1,,0.219,0.069,,19.32,1.61,,8.68,0.07,EM_NG
F04326+1904,106.0,,20.53,2.06,7409.,5.,544.4,17.6,659.7,9.3,<,0.195,0.065,,46.94,1.90,,10.71,0.04,EM_NG
F04502-3304,81.3,<,0.28,0.09,0.,5.,0.0,5.0,0.0,5.0,<,0.195,0.065,<,7.68,2.56,<,8.64,0.14,NoDet
F05053-0805,63.4,,1.95,0.21,4463.,5.,351.3,5.0,383.6,5.0,<,0.195,0.065,,36.82,1.96,,9.25,0.05,EM_NG
F05054+1718,77.9,<,0.20,0.07,0.,5.,0.0,5.0,0.0,5.0,,0.297,0.071,<,5.55,1.85,<,8.47,0.14,NoDet
F05081+7936,240.0,,0.84,0.10,16217.,172.,325.8,32.4,606.0,186.8,<,0.195,0.065,,4.21,1.04,,10.01,0.05,EM_G
05083+2441,99.2,,4.57,0.46,6906.,17.,271.3,33.4,386.8,33.4,<,0.195,0.065,,22.36,1.95,,10.01,0.04,EM_NG
05129+5128,120.0,,3.03,0.31,8320.,11.,319.7,22.5,395.4,22.5,<,0.195,0.065,,13.09,1.53,,9.99,0.04,EM_NG
F05187-1017,122.0,,0.25,0.06,8405.,40.,78.9,15.9,154.1,121.3,<,0.195,0.065,,5.82,1.60,,8.92,0.10,EM_G
F05189-2524,187.0,<,0.14,0.05,0.,5.,0.0,5.0,0.0,5.0,<,0.195,0.065,<,3.78,1.26,<,9.06,0.14,NoDet
05223+1908,128.0,,0.87,0.09,8858.,5.,92.5,8.8,122.7,8.9,<,0.195,0.065,,12.07,1.35,,9.50,0.05,EM_NG
F05365+6921,59.0,,66.90,6.69,3933.,5.,662.4,5.0,711.9,5.0,,0.273,0.071,,174.32,2.51,,10.73,0.04,EM_NG
05368+4940,83.7,,3.09,0.32,5765.,5.,104.2,5.0,132.2,5.0,<,0.195,0.065,,39.77,2.25,,9.69,0.04,EM_NG
F05414+5840,65.8,,6.49,0.66,4473.,5.,455.0,10.8,500.2,10.8,<,0.195,0.065,,21.32,2.09,,9.81,0.04,EM_NG
05442+1732,80.5,,6.31,0.63,5582.,6.,121.1,5.0,192.7,6.6,<,0.195,0.065,,50.40,1.81,,9.97,0.04,EM_G
F06052+8027,59.7,,19.57,1.96,3899.,5.,522.3,6.0,588.9,6.1,<,0.195,0.065,,67.07,1.96,,10.20,0.04,EM_NG
F06076-2139,165.0,<,0.14,0.05,0.,5.,0.0,5.0,0.0,5.0,<,0.195,0.065,<,3.75,1.25,<,8.95,0.14,NoDet
F06107+7822,17.5,,56.39,5.64,906.,5.,463.1,5.0,510.3,5.0,,1.201,0.137,,203.28,2.67,,9.61,0.04,EM_NG
F06295-1735,93.6,,8.24,0.83,6373.,7.,200.1,5.0,448.8,20.3,<,0.195,0.065,,35.09,2.15,,10.21,0.04,EM_G
F06538+4628,94.3,,4.93,0.50,6526.,15.,122.5,7.0,269.3,31.0,<,0.195,0.065,,37.92,2.22,,10.00,0.04,EM_G
07063+2043,78.0,,15.77,1.58,5206.,7.,189.8,5.1,363.5,14.6,,0.232,0.069,,70.00,2.40,,10.34,0.04,EM_G
07251-0248,400.0,<,0.48,0.16,0.,5.,0.0,5.0,0.0,5.0,<,0.215,0.072,<,12.96,4.32,<,10.25,0.14,NoDet
F07256+3355,62.1,,14.14,1.42,4015.,5.,403.2,9.5,523.2,9.5,<,0.195,0.065,,51.33,1.39,,10.10,0.04,EM_NG
F07329+1149,72.8,,12.04,1.21,4986.,5.,302.0,8.6,375.2,8.6,<,0.195,0.065,,50.80,2.13,,10.16,0.04,EM_NG
F08339+6517,86.3,,5.59,0.57,5794.,11.,210.9,21.1,328.4,21.1,,0.221,0.069,,30.85,1.93,,9.97,0.04,EM_NG
F08354+2555,84.1,>,1.11,0.12,5544.,5.,110.8,8.2,132.1,8.2,<,0.195,0.065,,15.70,1.90,>,9.25,0.05,EM_ABS
08424-3130,74.4,,2.91,0.31,4888.,13.,179.0,8.0,280.3,34.6,<,0.195,0.065,,19.85,2.49,,9.57,0.05,EM_G
F08572+3915,264.0,<,0.12,0.04,0.,5.,0.0,5.0,0.0,5.0,<,0.195,0.065,<,3.24,1.08,<,9.29,0.14,NoDet
F09111-1007,246.0,,2.22,0.24,16347.,97.,253.3,180.4,653.5,193.3,<,0.195,0.065,,8.67,1.46,,10.45,0.05,EM_NG
F09126+4432,178.0,,1.91,0.20,11954.,16.,274.8,32.0,345.8,32.0,<,0.195,0.065,,9.96,1.53,,10.12,0.05,EM_NG
F09320+6134,177.0,,-1.31,0.14,11941.,14.,321.6,27.6,395.3,27.0,,0.235,0.069,,-1.77,1.06,,-0.00,-0.00,ABS_NG
F09333+4841,117.0,,6.41,0.65,7705.,5.,475.9,49.9,547.3,9.8,<,0.195,0.065,,25.47,1.75,,10.29,0.04,EM_NG
F09437+0317,92.9,,12.90,1.29,5994.,5.,459.0,9.3,524.9,9.4,<,0.195,0.065,,36.36,1.97,,10.40,0.04,EM_NG
F10015-0614,79.5,,12.77,1.28,5080.,5.,405.2,7.6,462.1,7.6,<,0.195,0.065,,44.61,1.98,,10.26,0.04,EM_NG
F10038-3338,156.0,,4.03,0.41,10260.,17.,189.3,5.2,321.2,25.5,<,0.195,0.065,,21.18,1.45,,10.33,0.04,EM_G
F10173+0828,224.0,<,0.14,0.05,0.,5.,0.0,5.0,0.0,5.0,<,0.195,0.065,<,3.72,1.24,<,9.21,0.14,NoDet
F10196+2149,65.7,,29.85,2.99,4096.,5.,514.6,6.0,596.1,6.5,<,0.195,0.065,,86.61,2.13,,10.47,0.04,EM_NG
F10565+2448,197.0,,-0.72,0.09,12919.,25.,135.2,49.4,202.7,49.4,<,0.195,0.065,,-3.59,1.41,,-0.00,-0.00,ABS_NG
F11011+4107,158.0,,0.79,0.09,10712.,31.,109.1,62.2,216.7,61.1,<,0.195,0.065,,7.53,1.41,,9.64,0.05,EM_NG
F11186-0242,117.0,,3.63,0.37,7424.,14.,180.8,27.6,333.7,27.6,<,0.195,0.065,,20.61,1.50,,10.05,0.04,EM_NG
F11231+1456,157.0,,2.32,0.24,10236.,11.,376.6,23.3,439.1,22.2,<,0.195,0.065,,9.17,1.22,,10.10,0.04,EM_NG
F11257+5850,50.7,>,1.90,0.23,3121.,6.,480.0,12.1,560.5,12.1,,0.948,0.115,,47.46,2.37,>,9.05,0.05,EM_ABS
F12043-3140,112.0,,1.73,0.18,6928.,23.,271.7,48.9,364.4,46.9,<,0.195,0.065,,9.18,1.34,,9.69,0.05,EM_NG
F12112+0305,340.0,,-0.67,0.08,21778.,64.,197.2,118.0,390.8,127.9,<,0.195,0.065,,-1.82,1.11,,-0.00,-0.00,ABS_NG
F12116+5448,43.0,,5.74,0.58,2507.,5.,99.0,5.0,160.3,6.2,<,0.195,0.065,,58.58,2.15,,9.39,0.04,EM_G
F12224-0624,125.0,<,0.14,0.05,0.,5.,0.0,5.0,0.0,5.0,<,0.195,0.065,<,3.72,1.24,<,8.70,0.14,NoDet
F12243-0036,36.5,,3.20,0.33,2193.,5.,86.7,5.0,129.7,6.1,<,0.195,0.065,,36.57,2.17,,9.00,0.04,EM_G
F12540+5708,192.0,,-3.03,0.31,12641.,17.,178.8,5.0,263.3,9.9,,0.357,0.074,,-1.09,0.99,,-0.00,-0.00,ABS_G
F12590+2934,111.0,<,0.14,0.05,0.,5.,0.0,5.0,0.0,5.0,<,0.195,0.065,<,3.81,1.27,<,8.61,0.14,NoDet
F12592+0436,175.0,,3.71,0.38,11217.,14.,199.2,27.9,351.7,27.9,<,0.195,0.065,,19.18,1.37,,10.40,0.04,EM_NG
F12596-1529,78.7,,12.97,1.30,4819.,9.,317.3,17.5,456.8,17.5,<,0.195,0.065,,44.47,2.01,,10.26,0.04,EM_NG
F13001-2339,106.0,,-2.09,0.22,6529.,28.,182.7,56.3,334.0,56.3,<,0.195,0.065,,-1.20,1.66,,-0.00,-0.00,ABS_NG
F13097-1531,44.8,,2.82,0.30,2947.,10.,59.3,19.0,133.8,19.0,<,0.195,0.065,,33.10,2.59,,9.12,0.05,EM_NG
F13126+2453,56.8,,-1.16,0.13,3898.,24.,151.5,11.8,226.8,39.3,<,0.195,0.065,,-2.47,1.59,,-0.00,-0.00,ABS_G
F13136+6223,142.0,,2.33,0.24,9363.,37.,354.5,73.5,508.1,73.5,<,0.195,0.065,,13.32,1.45,,10.02,0.05,EM_NG
F13182+3424,110.0,,-1.36,0.14,6921.,5.,238.9,7.8,267.3,7.9,,0.210,0.068,,-2.44,0.99,,-0.00,-0.00,ABS_NG
F13188+0036,90.8,,5.51,0.56,5562.,8.,414.6,15.2,473.6,15.2,<,0.195,0.065,,20.58,2.10,,10.01,0.04,EM_NG
F13197-1627,82.2,,0.80,0.11,5010.,39.,202.1,24.2,372.5,175.0,,0.210,0.068,,6.07,1.70,,9.09,0.06,EM_G
F13229-2934,60.9,,7.71,0.78,4097.,5.,125.5,5.0,169.8,5.0,,0.280,0.071,,66.49,2.61,,9.82,0.04,EM_NG
F13301-2356,82.4,,4.72,0.48,4888.,22.,245.4,61.1,427.8,43.6,<,0.195,0.065,,22.36,2.41,,9.86,0.04,EM_NG
F13362+4831,129.0,<,0.16,0.05,0.,5.,0.0,5.0,0.0,5.0,<,0.195,0.065,<,4.41,1.47,<,8.80,0.14,NoDet
F13373+0105,108.5,,12.50,1.25,6798.,5.,463.1,8.9,524.5,9.0,<,0.195,0.065,,35.05,2.03,,10.52,0.04,EM_NG
F13428+5608,173.0,,-5.23,0.53,11296.,10.,541.0,19.8,629.0,19.8,<,0.195,0.065,,-1.61,1.02,,-0.00,-0.00,ABS_NG
F13470+3530,81.4,,12.92,1.30,5027.,5.,426.9,7.5,479.5,7.5,<,0.195,0.065,,49.68,1.94,,10.29,0.04,EM_NG
F13497+0220,155.0,,6.57,0.66,9916.,12.,421.6,23.8,550.9,23.8,<,0.195,0.065,,20.13,1.45,,10.54,0.04,EM_NG
F13564+3741,58.7,,19.55,1.96,3472.,6.,537.0,12.6,636.6,12.6,<,0.195,0.065,,51.85,2.13,,10.19,0.04,EM_NG
F14179+4927,120.0,,0.36,0.05,7688.,112.,103.2,223.6,365.0,223.6,<,0.195,0.065,,3.20,0.72,,9.06,0.06,EM_NG
F14280+3126,60.2,,4.52,0.46,3574.,11.,297.1,23.1,374.2,21.5,<,0.195,0.065,,19.64,1.83,,9.58,0.04,EM_NG
F14348-1447,387.0,<,0.15,0.05,0.,5.,0.0,5.0,0.0,5.0,<,0.195,0.065,<,3.99,1.33,<,9.71,0.14,NoDet
F14423-2039,67.1,,17.96,1.80,4095.,9.,452.4,21.8,608.9,18.9,<,0.195,0.065,,50.36,2.40,,10.27,0.04,EM_NG
F14547+2449,157.0,,7.52,0.76,10007.,9.,416.0,28.8,533.8,18.6,<,0.195,0.065,,23.32,1.72,,10.61,0.04,EM_NG
F15107+0724,65.4,,-2.04,0.21,3899.,8.,125.2,7.0,219.4,22.4,<,0.195,0.065,,-2.23,1.34,,-0.00,-0.00,ABS_G
F15163+4255,183.0,,0.66,0.07,12152.,112.,284.3,30.6,387.4,64.8,<,0.195,0.065,,4.78,0.74,,9.68,0.05,EM_G
F15250+3608,254.0,,-0.50,0.06,16653.,21.,337.4,38.7,425.6,41.8,<,0.195,0.065,,-2.08,0.95,,-0.00,-0.00,ABS_NG
F15276+1309,67.1,,5.20,0.52,4012.,5.,190.6,5.0,220.6,5.0,,0.195,0.068,,32.33,1.97,,9.73,0.04,EM_NG
F15327+2340,87.9,,-21.47,2.15,5432.,6.,318.8,11.7,558.9,12.2,,0.339,0.073,,-1.09,1.69,,-0.00,-0.00,ABS_NG
F15437+0234,64.4,,4.32,0.44,3884.,5.,100.2,5.0,279.4,24.2,<,0.195,0.065,,31.34,1.42,,9.61,0.04,EM_G
F16030+2040,77.6,,10.20,1.02,4753.,7.,353.1,13.9,446.2,14.5,,0.229,0.069,,32.04,2.06,,10.15,0.04,EM_NG
F16104+5235,137.0,,6.69,0.67,8905.,5.,217.2,11.0,383.5,8.4,<,0.195,0.065,,32.19,1.39,,10.45,0.04,EM_NG
F16164-0746,128.0,<,0.18,0.06,0.,5.,0.0,5.0,0.0,5.0,<,0.195,0.065,<,4.92,1.64,<,8.84,0.14,NoDet
F16284+0411,116.0,,2.40,0.25,7405.,14.,186.1,30.5,272.4,28.5,<,0.195,0.065,,15.79,1.69,,9.86,0.05,EM_NG
F16399-0937,128.0,,2.84,0.30,8046.,40.,147.4,78.9,370.6,79.0,<,0.195,0.065,,17.00,2.01,,10.02,0.05,EM_NG
F16443-2915,100.0,,5.64,0.57,6338.,5.,137.3,7.6,279.7,5.6,<,0.195,0.065,,38.44,2.62,,10.11,0.04,EM_NG
F16504+0228,116.0,,-7.51,0.77,7294.,14.,266.5,6.9,491.2,50.9,,0.851,0.107,,-3.70,2.27,,-0.00,-0.00,ABS_G
F16516-0948,107.0,,8.83,0.89,6856.,7.,303.9,15.3,423.4,14.3,<,0.195,0.065,,34.20,1.54,,10.36,0.04,EM_NG
F16577+5900,85.7,>,4.78,0.49,5592.,75.,704.5,13.0,917.7,149.7,<,0.195,0.065,,14.26,1.52,>,9.90,0.04,EM_ABS
F17132+5313,232.0,,2.35,0.24,15276.,29.,395.9,58.7,549.0,58.7,<,0.195,0.065,,8.71,1.01,,10.43,0.04,EM_NG
F17138-1017,84.0,,4.08,0.42,5167.,7.,151.6,5.0,237.4,17.9,<,0.195,0.065,,27.50,2.13,,9.82,0.04,EM_G
F17207-0014,198.0,,-5.86,0.59,12811.,19.,588.9,38.5,732.8,38.5,<,0.195,0.065,,-1.36,1.32,,-0.00,-0.00,ABS_NG
F17530+3447,77.5,,3.41,0.35,4867.,5.,376.0,10.4,415.8,10.4,<,0.195,0.065,,13.41,1.42,,9.67,0.04,EM_NG
F17548+2401,93.4,,0.70,0.09,5926.,20.,103.7,39.7,163.7,39.7,<,0.195,0.065,,8.66,1.60,,9.14,0.05,EM_NG
17578-0400,68.5,,14.73,1.48,4114.,19.,289.9,18.5,645.2,37.2,,0.206,0.068,,48.32,2.34,,10.20,0.04,EM_NG
18090+0130,134.0,,3.22,0.33,8660.,29.,310.4,12.0,495.0,63.9,<,0.195,0.065,,13.49,1.48,,10.11,0.04,EM_G
F18131+6820,94.3,,6.17,0.62,6210.,14.,410.5,52.4,560.7,28.3,<,0.195,0.065,,17.75,1.58,,10.09,0.04,EM_NG
F18145+2205,88.1,,2.56,0.27,5567.,16.,219.1,11.0,311.3,32.1,<,0.195,0.065,,13.43,1.53,,9.65,0.05,EM_G
F18293-3413,86.0,,6.40,0.65,5493.,10.,182.5,21.3,275.8,20.8,,0.521,0.083,,37.32,3.03,,10.03,0.04,EM_NG
F18329+5950,129.5,,8.23,0.83,8597.,6.,420.2,21.0,538.4,12.5,<,0.195,0.065,,27.04,1.59,,10.49,0.04,EM_NG
F18425+6036,62.4,,5.82,0.58,3957.,5.,110.9,5.0,218.0,9.2,<,0.195,0.065,,44.44,1.18,,9.72,0.04,EM_G
F19115-2124,222.0,,0.73,0.09,14530.,168.,296.5,51.6,311.2,323.4,<,0.204,0.068,,5.82,1.15,,9.89,0.05,EM_G
F19120+7320,113.0,,5.67,0.57,7508.,11.,184.4,5.0,282.9,14.0,<,0.195,0.065,,32.10,1.88,,10.21,0.04,EM_G
F19297-0406,395.0,<,0.18,0.06,0.,5.,0.0,5.0,0.0,5.0,,0.280,0.071,<,4.92,1.64,<,9.82,0.14,NoDet
19542+1110,295.0,<,0.14,0.05,0.,5.,0.0,5.0,0.0,5.0,<,0.195,0.065,<,3.69,1.23,<,9.44,0.14,NoDet
F20221-2458,50.1,,47.09,4.71,3157.,5.,304.4,5.0,373.4,5.0,<,0.195,0.065,,176.65,2.30,,10.44,0.04,EM_NG
20264+2533,64.2,,4.24,0.44,4268.,33.,202.5,15.8,300.6,65.2,<,0.195,0.065,,32.74,2.48,,9.60,0.04,EM_NG
F20304-0211,89.1,,17.46,1.75,6001.,7.,463.7,13.6,585.6,13.6,<,0.195,0.065,,58.57,2.13,,10.50,0.04,EM_NG
20351+2521,151.0,,2.68,0.28,10200.,15.,246.7,46.8,364.7,29.9,<,0.195,0.065,,13.52,1.54,,10.13,0.04,EM_NG
F20550+1655,161.0,,2.78,0.29,10827.,14.,203.4,32.4,327.9,28.9,<,0.195,0.065,,15.31,1.60,,10.20,0.04,EM_NG
21101+5810,174.0,<,0.13,0.04,0.,5.,0.0,5.0,0.0,5.0,<,0.195,0.065,<,3.54,1.18,<,8.97,0.14,NoDet
F21453-3511,72.7,>,0.35,0.09,4941.,33.,305.3,61.0,441.3,66.3,,0.279,0.071,,12.85,1.86,>,8.63,0.12,EM_ABS
F22118-2742,77.3,,8.66,0.87,5263.,6.,349.0,12.2,416.7,12.2,<,0.195,0.065,,37.21,2.42,,10.07,0.04,EM_NG
F22287-1917,110.0,,3.62,0.37,7596.,22.,351.4,100.2,498.8,43.3,<,0.195,0.065,,14.99,1.54,,9.99,0.04,EM_NG
F22389+3359,93.5,,2.23,0.23,6433.,16.,183.7,8.8,368.8,80.9,<,0.195,0.065,,12.80,1.53,,9.64,0.05,EM_G
F22491-1808,351.0,<,0.14,0.05,0.,5.,0.0,5.0,0.0,5.0,<,0.195,0.065,<,3.75,1.25,<,9.60,0.14,NoDet
F23007+0836,70.8,>,2.45,0.25,4860.,27.,249.4,53.5,406.4,53.5,,0.235,0.069,,16.44,1.39,>,9.45,0.05,EM_ABS
F23024+1916,109.0,,1.68,0.18,7491.,31.,141.8,62.1,306.7,62.1,<,0.195,0.065,,10.54,1.47,,9.65,0.05,EM_NG
F23135+2517,119.0,,2.78,0.28,8199.,6.,290.2,12.5,350.1,12.5,<,0.195,0.065,,14.22,1.16,,9.94,0.04,EM_NG
F23157-0441,106.0,,1.70,0.18,7198.,5.,41.5,21.6,209.4,8.6,<,0.195,0.065,,20.66,1.26,,9.63,0.05,EM_NG
F23157+0618,71.4,,20.37,2.04,4959.,5.,363.8,5.0,413.6,5.0,<,0.195,0.065,,92.65,1.85,,10.37,0.04,EM_NG
F23254+0830,125.0,,4.63,0.47,8823.,30.,79.7,59.7,422.4,59.7,,0.232,0.069,,23.12,1.24,,10.21,0.04,EM_NG
23262+0314,73.8,,9.82,0.99,5145.,5.,232.0,6.9,292.2,6.9,<,0.195,0.065,,52.71,2.00,,10.09,0.04,EM_NG
F23365+3604,287.0,,-0.47,0.06,19294.,119.,193.0,23.4,343.7,192.0,<,0.195,0.065,,-0.45,0.91,,-0.00,-0.00,ABS_G
F23394-0353,100.0,,10.95,1.10,6932.,12.,248.7,23.2,400.0,23.2,<,0.195,0.065,,52.12,1.90,,10.39,0.04,EM_NG
23436+5257,149.0,,1.15,0.12,10248.,18.,156.4,29.8,241.6,35.2,<,0.195,0.065,,9.70,1.07,,9.75,0.05,EM_NG
F23444+2911,73.6,,26.90,2.69,5144.,5.,372.5,5.0,431.1,5.0,<,0.195,0.065,,89.20,2.93,,10.52,0.04,EM_NG
F23488+1949,61.2,,18.82,1.89,4299.,10.,466.0,19.7,617.4,19.7,<,0.195,0.065,,49.27,2.23,,10.21,0.04,EM_NG
F23488+2018,79.3,,14.13,1.42,5416.,5.,337.4,5.0,377.6,5.0,<,0.195,0.065,,52.73,1.81,,10.31,0.04,EM_NG
